Plant Name,Scientific Name,Forest Type,Peak Season,Height (m),Famous Forest,Soil Type,Land Area Found,City,Region,Unique Fact,Endemic to India,Conservation Status,Medicinal Use,Season,Most Active Time
Teak,Tectona grandis,Dry Thorn Forest,Autumn,35,Western Ghats,Red,Riverbanks,Mumbai,West India,High commercial value,No,Critically Endangered,Yes,Autumn,Both
Coconut,Cocos nucifera,Montane Forest,Winter,12,Himalayan Forests,Alluvial,Riverbanks,Hyderabad,South India,Used in shipbuilding,No,Least Concern,Yes,Summer,Both
Neem,Azadirachta indica,Tropical Rainforest,Winter,20,Kaziranga,Sandy,Coastal Areas,Shimla,North India,Used in Ayurveda,No,Least Concern,No,Spring,Night
Coconut,Cocos nucifera,Deciduous Forest,Spring,12,Himalayan Forests,Red,Coastal Areas,Delhi,North India,Used in shipbuilding,Yes,Least Concern,No,Summer,Day
Sal,Shorea robusta,Deciduous Forest,Spring,40,Sundarbans,Sandy,Plains,Bhopal,Central India,Source of sandalwood oil,Yes,Critically Endangered,Yes,Spring,Both
Teak,Tectona grandis,Deciduous Forest,Autumn,35,Himalayan Forests,Black,Wetlands,Bangalore,South India,High commercial value,No,Least Concern,No,Autumn,Both
Teak,Tectona grandis,Montane Forest,Monsoon,35,Kaziranga,Alluvial,Wetlands,Delhi,North India,High commercial value,Yes,Critically Endangered,Yes,Summer,Day
Teak,Tectona grandis,Tropical Rainforest,Monsoon,35,Jim Corbett National Park,Black,Hills,Shimla,North India,High commercial value,No,Least Concern,Yes,Monsoon,Both
Sal,Shorea robusta,Deciduous Forest,Spring,40,Jim Corbett National Park,Alluvial,Hills,Kolkata,East India,Source of sandalwood oil,Yes,Critically Endangered,No,Summer,Night
Neem,Azadirachta indica,Tropical Rainforest,Winter,20,Sundarbans,Alluvial,Hills,Shimla,North India,Used in Ayurveda,No,Near Threatened,No,Summer,Night
Sandalwood,Santalum album,Deciduous Forest,Summer,10,Kaziranga,Alluvial,Wetlands,Mumbai,West India,Fire-resistant bark,Yes,Least Concern,Yes,Spring,Day
Sandalwood,Santalum album,Montane Forest,Winter,10,Jim Corbett National Park,Sandy,Plains,Guwahati,Northeast India,Fire-resistant bark,No,Least Concern,No,Spring,Day
Neem,Azadirachta indica,Tropical Rainforest,Summer,20,Himalayan Forests,Sandy,Wetlands,Chennai,South India,Used in Ayurveda,Yes,Least Concern,No,Summer,Day
Sal,Shorea robusta,Deciduous Forest,Autumn,40,Himalayan Forests,Red,Riverbanks,Chennai,South India,Source of sandalwood oil,No,Least Concern,Yes,Winter,Day
Peepal,Ficus religiosa,Tropical Rainforest,Winter,25,Jim Corbett National Park,Black,Coastal Areas,Guwahati,Northeast India,Sacred in Hinduism,Yes,Critically Endangered,No,Spring,Night
Mango,Mangifera indica,Deciduous Forest,Autumn,18,Kaziranga,Red,Wetlands,Kolkata,East India,Attracts fruit bats,No,Near Threatened,No,Summer,Night
Peepal,Ficus religiosa,Montane Forest,Autumn,25,Kaziranga,Sandy,Coastal Areas,Kolkata,East India,Sacred in Hinduism,No,Critically Endangered,No,Summer,Day
Neem,Azadirachta indica,Mangrove Forest,Winter,20,Western Ghats,Sandy,Coastal Areas,Hyderabad,South India,Used in Ayurveda,Yes,Critically Endangered,Yes,Autumn,Both
Mango,Mangifera indica,Montane Forest,Spring,18,Western Ghats,Black,Plains,Kolkata,East India,Attracts fruit bats,No,Least Concern,Yes,Spring,Day
Jamun,Syzygium cumini,Montane Forest,Summer,22,Sundarbans,Laterite,Wetlands,Jaipur,West India,National tree of India,Yes,Least Concern,Yes,Monsoon,Night
Jamun,Syzygium cumini,Dry Thorn Forest,Spring,22,Sundarbans,Alluvial,Hills,Hyderabad,South India,National tree of India,No,Least Concern,Yes,Winter,Day
Sal,Shorea robusta,Mangrove Forest,Autumn,40,Western Ghats,Laterite,Plains,Delhi,North India,Source of sandalwood oil,No,Least Concern,Yes,Summer,Night
Sandalwood,Santalum album,Deciduous Forest,Monsoon,10,Western Ghats,Black,Plains,Guwahati,Northeast India,Fire-resistant bark,No,Least Concern,No,Spring,Day
Jamun,Syzygium cumini,Mangrove Forest,Autumn,22,Western Ghats,Alluvial,Coastal Areas,Jaipur,West India,National tree of India,No,Least Concern,Yes,Summer,Night
Jamun,Syzygium cumini,Tropical Rainforest,Spring,22,Kaziranga,Alluvial,Coastal Areas,Jaipur,West India,National tree of India,Yes,Least Concern,No,Spring,Both
Teak,Tectona grandis,Dry Thorn Forest,Monsoon,35,Himalayan Forests,Red,Plains,Bhopal,Central India,High commercial value,No,Least Concern,No,Autumn,Both
Teak,Tectona grandis,Deciduous Forest,Winter,35,Himalayan Forests,Sandy,Hills,Delhi,North India,High commercial value,No,Least Concern,Yes,Autumn,Day
Teak,Tectona grandis,Deciduous Forest,Summer,35,Himalayan Forests,Black,Coastal Areas,Hyderabad,South India,High commercial value,No,Near Threatened,Yes,Autumn,Both
Peepal,Ficus religiosa,Dry Thorn Forest,Autumn,25,Kaziranga,Sandy,Plains,Guwahati,Northeast India,Sacred in Hinduism,Yes,Near Threatened,Yes,Autumn,Night
Jamun,Syzygium cumini,Dry Thorn Forest,Winter,22,Sundarbans,Red,Coastal Areas,Jaipur,West India,National tree of India,No,Critically Endangered,Yes,Monsoon,Both
Banyan,Ficus benghalensis,Mangrove Forest,Summer,30,Jim Corbett National Park,Laterite,Hills,Bangalore,South India,Host to diverse epiphytes,Yes,Least Concern,No,Spring,Both
Neem,Azadirachta indica,Deciduous Forest,Monsoon,20,Western Ghats,Black,Riverbanks,Bangalore,South India,Used in Ayurveda,No,Least Concern,Yes,Autumn,Night
Banyan,Ficus benghalensis,Tropical Rainforest,Winter,30,Western Ghats,Black,Wetlands,Shimla,North India,Host to diverse epiphytes,Yes,Least Concern,Yes,Autumn,Both
Peepal,Ficus religiosa,Dry Thorn Forest,Winter,25,Western Ghats,Black,Wetlands,Shimla,North India,Sacred in Hinduism,No,Least Concern,No,Winter,Day
Coconut,Cocos nucifera,Montane Forest,Autumn,12,Jim Corbett National Park,Black,Plains,Chennai,South India,Used in shipbuilding,Yes,Near Threatened,Yes,Summer,Day
Rosewood,Dalbergia latifolia,Mangrove Forest,Winter,15,Western Ghats,Laterite,Hills,Shimla,North India,Important timber species,No,Least Concern,No,Autumn,Night
Sandalwood,Santalum album,Montane Forest,Spring,10,Sundarbans,Black,Plains,Mumbai,West India,Fire-resistant bark,No,Near Threatened,Yes,Monsoon,Day
Banyan,Ficus benghalensis,Mangrove Forest,Monsoon,30,Western Ghats,Red,Plains,Hyderabad,South India,Host to diverse epiphytes,Yes,Critically Endangered,Yes,Monsoon,Both
Sal,Shorea robusta,Montane Forest,Summer,40,Western Ghats,Laterite,Hills,Guwahati,Northeast India,Source of sandalwood oil,No,Critically Endangered,No,Spring,Day
Mango,Mangifera indica,Deciduous Forest,Autumn,18,Sundarbans,Alluvial,Coastal Areas,Guwahati,Northeast India,Attracts fruit bats,Yes,Least Concern,No,Winter,Day
Sal,Shorea robusta,Deciduous Forest,Autumn,40,Jim Corbett National Park,Black,Plains,Shimla,North India,Source of sandalwood oil,Yes,Near Threatened,Yes,Spring,Day
Jamun,Syzygium cumini,Montane Forest,Autumn,22,Jim Corbett National Park,Sandy,Plains,Shimla,North India,National tree of India,No,Critically Endangered,Yes,Spring,Day
Neem,Azadirachta indica,Montane Forest,Autumn,20,Himalayan Forests,Black,Riverbanks,Guwahati,Northeast India,Used in Ayurveda,Yes,Least Concern,No,Spring,Day
Sal,Shorea robusta,Deciduous Forest,Winter,40,Kaziranga,Alluvial,Coastal Areas,Jaipur,West India,Source of sandalwood oil,No,Least Concern,No,Autumn,Both
Jamun,Syzygium cumini,Dry Thorn Forest,Monsoon,22,Jim Corbett National Park,Laterite,Wetlands,Jaipur,West India,National tree of India,Yes,Least Concern,No,Winter,Both
Jamun,Syzygium cumini,Deciduous Forest,Autumn,22,Jim Corbett National Park,Alluvial,Riverbanks,Shimla,North India,National tree of India,No,Least Concern,No,Monsoon,Night
Peepal,Ficus religiosa,Dry Thorn Forest,Summer,25,Western Ghats,Sandy,Hills,Bangalore,South India,Sacred in Hinduism,No,Least Concern,Yes,Winter,Day
Coconut,Cocos nucifera,Montane Forest,Monsoon,12,Himalayan Forests,Sandy,Coastal Areas,Kolkata,East India,Used in shipbuilding,Yes,Least Concern,Yes,Spring,Both
Coconut,Cocos nucifera,Tropical Rainforest,Spring,12,Himalayan Forests,Red,Riverbanks,Mumbai,West India,Used in shipbuilding,No,Near Threatened,Yes,Monsoon,Both
Sandalwood,Santalum album,Montane Forest,Spring,10,Sundarbans,Black,Wetlands,Mumbai,West India,Fire-resistant bark,Yes,Least Concern,Yes,Summer,Night
Rosewood,Dalbergia latifolia,Montane Forest,Monsoon,15,Sundarbans,Black,Plains,Shimla,North India,Important timber species,Yes,Least Concern,Yes,Summer,Both
Sandalwood,Santalum album,Tropical Rainforest,Summer,10,Himalayan Forests,Laterite,Plains,Delhi,North India,Fire-resistant bark,Yes,Near Threatened,Yes,Spring,Day
Neem,Azadirachta indica,Deciduous Forest,Autumn,20,Jim Corbett National Park,Black,Plains,Bangalore,South India,Used in Ayurveda,No,Least Concern,No,Spring,Night
Mango,Mangifera indica,Montane Forest,Monsoon,18,Himalayan Forests,Laterite,Hills,Guwahati,Northeast India,Attracts fruit bats,No,Least Concern,Yes,Summer,Night
Jamun,Syzygium cumini,Mangrove Forest,Summer,22,Sundarbans,Laterite,Wetlands,Mumbai,West India,National tree of India,Yes,Near Threatened,Yes,Summer,Night
Coconut,Cocos nucifera,Dry Thorn Forest,Summer,12,Sundarbans,Red,Wetlands,Jaipur,West India,Used in shipbuilding,Yes,Least Concern,Yes,Autumn,Both
Peepal,Ficus religiosa,Montane Forest,Spring,25,Kaziranga,Laterite,Hills,Hyderabad,South India,Sacred in Hinduism,Yes,Least Concern,Yes,Monsoon,Both
Banyan,Ficus benghalensis,Deciduous Forest,Spring,30,Sundarbans,Sandy,Plains,Hyderabad,South India,Host to diverse epiphytes,Yes,Near Threatened,No,Spring,Night
Peepal,Ficus religiosa,Montane Forest,Spring,25,Western Ghats,Black,Plains,Bangalore,South India,Sacred in Hinduism,No,Least Concern,No,Monsoon,Night
Mango,Mangifera indica,Mangrove Forest,Summer,18,Western Ghats,Sandy,Wetlands,Hyderabad,South India,Attracts fruit bats,No,Least Concern,Yes,Autumn,Day
Neem,Azadirachta indica,Deciduous Forest,Spring,20,Jim Corbett National Park,Laterite,Plains,Guwahati,Northeast India,Used in Ayurveda,Yes,Least Concern,No,Autumn,Night
Peepal,Ficus religiosa,Mangrove Forest,Spring,25,Kaziranga,Sandy,Coastal Areas,Kolkata,East India,Sacred in Hinduism,No,Least Concern,No,Summer,Day
Coconut,Cocos nucifera,Deciduous Forest,Monsoon,12,Kaziranga,Black,Wetlands,Guwahati,Northeast India,Used in shipbuilding,Yes,Least Concern,No,Spring,Night
Mango,Mangifera indica,Mangrove Forest,Spring,18,Himalayan Forests,Sandy,Plains,Bangalore,South India,Attracts fruit bats,No,Least Concern,Yes,Spring,Both
Teak,Tectona grandis,Dry Thorn Forest,Spring,35,Himalayan Forests,Sandy,Hills,Hyderabad,South India,High commercial value,Yes,Least Concern,No,Spring,Both
Sal,Shorea robusta,Deciduous Forest,Autumn,40,Jim Corbett National Park,Sandy,Coastal Areas,Guwahati,Northeast India,Source of sandalwood oil,No,Critically Endangered,Yes,Winter,Night
Neem,Azadirachta indica,Dry Thorn Forest,Spring,20,Jim Corbett National Park,Laterite,Plains,Shimla,North India,Used in Ayurveda,Yes,Least Concern,No,Autumn,Both
Jamun,Syzygium cumini,Tropical Rainforest,Spring,22,Sundarbans,Laterite,Riverbanks,Mumbai,West India,National tree of India,Yes,Least Concern,No,Summer,Night
Sandalwood,Santalum album,Mangrove Forest,Autumn,10,Himalayan Forests,Sandy,Plains,Mumbai,West India,Fire-resistant bark,Yes,Least Concern,Yes,Winter,Both
Rosewood,Dalbergia latifolia,Deciduous Forest,Summer,15,Jim Corbett National Park,Sandy,Riverbanks,Delhi,North India,Important timber species,No,Critically Endangered,Yes,Summer,Both
Sal,Shorea robusta,Deciduous Forest,Monsoon,40,Western Ghats,Red,Plains,Bhopal,Central India,Source of sandalwood oil,No,Critically Endangered,No,Monsoon,Both
Sandalwood,Santalum album,Dry Thorn Forest,Summer,10,Sundarbans,Red,Coastal Areas,Jaipur,West India,Fire-resistant bark,Yes,Least Concern,No,Monsoon,Day
Teak,Tectona grandis,Deciduous Forest,Autumn,35,Jim Corbett National Park,Red,Plains,Bhopal,Central India,High commercial value,No,Critically Endangered,Yes,Monsoon,Both
Peepal,Ficus religiosa,Mangrove Forest,Monsoon,25,Himalayan Forests,Laterite,Plains,Hyderabad,South India,Sacred in Hinduism,No,Least Concern,Yes,Monsoon,Night
Teak,Tectona grandis,Montane Forest,Autumn,35,Himalayan Forests,Laterite,Hills,Bangalore,South India,High commercial value,Yes,Near Threatened,Yes,Autumn,Both
Rosewood,Dalbergia latifolia,Deciduous Forest,Summer,15,Western Ghats,Alluvial,Hills,Jaipur,West India,Important timber species,No,Least Concern,Yes,Spring,Both
Jamun,Syzygium cumini,Mangrove Forest,Winter,22,Himalayan Forests,Black,Wetlands,Mumbai,West India,National tree of India,No,Least Concern,No,Monsoon,Night
Rosewood,Dalbergia latifolia,Dry Thorn Forest,Summer,15,Jim Corbett National Park,Sandy,Wetlands,Jaipur,West India,Important timber species,No,Critically Endangered,Yes,Winter,Night
Peepal,Ficus religiosa,Dry Thorn Forest,Autumn,25,Western Ghats,Laterite,Riverbanks,Mumbai,West India,Sacred in Hinduism,Yes,Least Concern,Yes,Summer,Day
Neem,Azadirachta indica,Deciduous Forest,Autumn,20,Sundarbans,Red,Coastal Areas,Bhopal,Central India,Used in Ayurveda,No,Near Threatened,No,Autumn,Night
Jamun,Syzygium cumini,Deciduous Forest,Winter,22,Jim Corbett National Park,Red,Wetlands,Delhi,North India,National tree of India,Yes,Least Concern,No,Autumn,Day
Sal,Shorea robusta,Deciduous Forest,Winter,40,Himalayan Forests,Alluvial,Plains,Shimla,North India,Source of sandalwood oil,Yes,Least Concern,No,Summer,Night
Teak,Tectona grandis,Deciduous Forest,Monsoon,35,Western Ghats,Red,Wetlands,Bhopal,Central India,High commercial value,Yes,Critically Endangered,Yes,Monsoon,Both
Coconut,Cocos nucifera,Tropical Rainforest,Spring,12,Western Ghats,Laterite,Wetlands,Hyderabad,South India,Used in shipbuilding,No,Least Concern,Yes,Spring,Both
Coconut,Cocos nucifera,Montane Forest,Winter,12,Sundarbans,Alluvial,Wetlands,Bhopal,Central India,Used in shipbuilding,Yes,Least Concern,No,Autumn,Both
Mango,Mangifera indica,Mangrove Forest,Monsoon,18,Kaziranga,Alluvial,Coastal Areas,Bangalore,South India,Attracts fruit bats,Yes,Critically Endangered,Yes,Monsoon,Day
Sal,Shorea robusta,Tropical Rainforest,Autumn,40,Jim Corbett National Park,Black,Coastal Areas,Hyderabad,South India,Source of sandalwood oil,Yes,Least Concern,No,Spring,Day
Sandalwood,Santalum album,Mangrove Forest,Monsoon,10,Kaziranga,Alluvial,Plains,Kolkata,East India,Fire-resistant bark,No,Least Concern,No,Spring,Both
Banyan,Ficus benghalensis,Montane Forest,Spring,30,Jim Corbett National Park,Alluvial,Plains,Mumbai,West India,Host to diverse epiphytes,No,Near Threatened,No,Spring,Day
Neem,Azadirachta indica,Dry Thorn Forest,Autumn,20,Himalayan Forests,Black,Riverbanks,Bangalore,South India,Used in Ayurveda,No,Least Concern,No,Spring,Both
Sandalwood,Santalum album,Deciduous Forest,Monsoon,10,Kaziranga,Alluvial,Coastal Areas,Hyderabad,South India,Fire-resistant bark,Yes,Least Concern,Yes,Autumn,Day
Neem,Azadirachta indica,Tropical Rainforest,Winter,20,Kaziranga,Sandy,Coastal Areas,Kolkata,East India,Used in Ayurveda,No,Least Concern,No,Spring,Day
Jamun,Syzygium cumini,Tropical Rainforest,Spring,22,Himalayan Forests,Red,Hills,Bangalore,South India,National tree of India,Yes,Least Concern,No,Monsoon,Day
Neem,Azadirachta indica,Montane Forest,Monsoon,20,Western Ghats,Laterite,Plains,Shimla,North India,Used in Ayurveda,No,Near Threatened,No,Winter,Both
Rosewood,Dalbergia latifolia,Montane Forest,Winter,15,Himalayan Forests,Laterite,Riverbanks,Delhi,North India,Important timber species,Yes,Least Concern,No,Autumn,Day
Coconut,Cocos nucifera,Montane Forest,Autumn,12,Sundarbans,Sandy,Coastal Areas,Hyderabad,South India,Used in shipbuilding,Yes,Critically Endangered,No,Summer,Both
Neem,Azadirachta indica,Montane Forest,Autumn,20,Himalayan Forests,Sandy,Riverbanks,Guwahati,Northeast India,Used in Ayurveda,No,Least Concern,No,Winter,Both
Coconut,Cocos nucifera,Montane Forest,Summer,12,Western Ghats,Sandy,Plains,Kolkata,East India,Used in shipbuilding,Yes,Near Threatened,No,Monsoon,Day
Coconut,Cocos nucifera,Montane Forest,Spring,12,Kaziranga,Sandy,Riverbanks,Delhi,North India,Used in shipbuilding,No,Least Concern,Yes,Autumn,Day
