name,city,forest,Season,active,Famous Forest for It,Food,Preferred Shelter Type,Unique Fact,Endemic Status,Conservation Status
Golden Langur,Hyderabad,Deciduous Forest,monsoon,afternoon,Jim Corbett National Park,Insectivore,Water Bodies,Has the strongest bite force among big cats.,No,
Indian Wolf,Bhopal,Tropical Rainforest,monsoon,night,Hemis National Park,Insectivore,Caves,The longest venomous snake in the world.,No,
Golden Langur,Shimla,Mangrove,winter,morning,Hemis National Park,Omnivore,Water Bodies,Largest species of wild cattle.,No,
Red Panda,Kolkata,Mangrove,monsoon,afternoon,Bandhavgarh National Park,Carnivore,Rocky Terrain,Recognizable by its golden fur.,No,
Blackbuck,Jaipur,Thorn Forest,summer,morning,Jim Corbett National Park,Insectivore,Grasslands,Survives in extreme cold temperatures.,No,Least Concern
Gaur,Bhopal,Mangrove,winter,morning,Sundarbans,Herbivore,Burrows,Its venom is neurotoxic and highly potent.,No,
Asiatic Lion,Dehradun,Thorn Forest,winter,afternoon,Kanha National Park,Herbivore,Caves,Largest species of wild cattle.,No,Critically Endangered
Indian Cobra,Bhopal,Himalayan Forest,monsoon,afternoon,Ranthambore National Park,Herbivore,Rocky Terrain,"Can weigh up to 2,200 kg.",No,
Bengal Tiger,Nagpur,Deciduous Forest,monsoon,night,Kaziranga National Park,Insectivore,Burrows,Can run at speeds of up to 80 km/h.,No,
Sloth Bear,Kolkata,Deciduous Forest,summer,night,Jim Corbett National Park,Herbivore,Rocky Terrain,"Can weigh up to 2,200 kg.",No,Near Threatened
Blackbuck,Pune,Mangrove,summer,morning,Gir Forest,Omnivore,Caves,Largest species of wild cattle.,No,Least Concern
Indian Star Tortoise,Pune,Tropical Rainforest,summer,afternoon,Jim Corbett National Park,Insectivore,Rocky Terrain,Has a beautifully patterned shell for camouflage.,No,
Indian Leopard,Shimla,Deciduous Forest,winter,night,Hemis National Park,Carnivore,Caves,The longest venomous snake in the world.,No,Near Threatened
Golden Langur,Delhi,Thorn Forest,monsoon,morning,Bandhavgarh National Park,Insectivore,Dense Trees,Recognizable by its golden fur.,No,
Snow Leopard,Kolkata,Tropical Rainforest,summer,night,Ranthambore National Park,Insectivore,Rocky Terrain,Can leap over 20 feet in a single bound.,No,
Indian Cobra,Shimla,Himalayan Forest,summer,morning,Ranthambore National Park,Carnivore,Water Bodies,One of the world's most elusive animals.,No,
One-Horned Rhinoceros,Kolkata,Tropical Rainforest,winter,morning,Bandhavgarh National Park,Carnivore,Water Bodies,One of the world's most elusive animals.,No,Near Threatened
Sloth Bear,Dehradun,Mangrove,summer,afternoon,Bandhavgarh National Park,Carnivore,Water Bodies,The only lion species found outside Africa.,No,Near Threatened
Gaur,Nagpur,Deciduous Forest,winter,morning,Jim Corbett National Park,Omnivore,Grasslands,The longest venomous snake in the world.,No,
Golden Langur,Mumbai,Thorn Forest,summer,night,Jim Corbett National Park,Omnivore,Caves,The only lion species found outside Africa.,No,
Indian Cobra,Pune,Tropical Rainforest,winter,night,Sundarbans,Omnivore,Rocky Terrain,One of the world's most elusive animals.,No,
One-Horned Rhinoceros,Pune,Deciduous Forest,summer,afternoon,Nagarhole National Park,Herbivore,Caves,Its venom is neurotoxic and highly potent.,No,Near Threatened
Indian Leopard,Guwahati,Tropical Rainforest,winter,night,Hemis National Park,Omnivore,Dense Trees,Can leap over 20 feet in a single bound.,No,Near Threatened
Indian Leopard,Delhi,Tropical Rainforest,summer,night,Sundarbans,Omnivore,Rocky Terrain,Can communicate using low-frequency rumbles.,No,Near Threatened
Indian Leopard,Nagpur,Thorn Forest,monsoon,night,Nagarhole National Park,Insectivore,Dense Trees,Can leap over 20 feet in a single bound.,No,Near Threatened
Indian Star Tortoise,Shimla,Tropical Rainforest,summer,afternoon,Bandhavgarh National Park,Insectivore,Rocky Terrain,The longest venomous snake in the world.,No,
Indian Star Tortoise,Delhi,Deciduous Forest,winter,night,Gir Forest,Omnivore,Caves,Uses its long tongue to extract termites from nests.,No,
Snow Leopard,Bengaluru,Deciduous Forest,summer,afternoon,Hemis National Park,Carnivore,Water Bodies,Its venom is neurotoxic and highly potent.,No,
Asiatic Lion,Dehradun,Tropical Rainforest,summer,night,Ranthambore National Park,Carnivore,Grasslands,Recognizable by its golden fur.,No,Critically Endangered
Indian Star Tortoise,Bengaluru,Himalayan Forest,monsoon,morning,Hemis National Park,Insectivore,Caves,Can leap over 20 feet in a single bound.,No,
Gaur,Jaipur,Mangrove,monsoon,morning,Hemis National Park,Omnivore,Burrows,Largest species of wild cattle.,No,
Indian Cobra,Bengaluru,Himalayan Forest,summer,morning,Ranthambore National Park,Omnivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,
King Cobra,Kolkata,Tropical Rainforest,monsoon,morning,Periyar Wildlife Sanctuary,Carnivore,Dense Trees,The only lion species found outside Africa.,No,
Indian Leopard,Shimla,Thorn Forest,monsoon,night,Gir Forest,Omnivore,Water Bodies,Can communicate using low-frequency rumbles.,No,Near Threatened
Indian Wolf,Kolkata,Mangrove,monsoon,afternoon,Jim Corbett National Park,Insectivore,Rocky Terrain,Survives in extreme cold temperatures.,No,
Indian Star Tortoise,Hyderabad,Himalayan Forest,monsoon,night,Bandhavgarh National Park,Carnivore,Caves,The only lion species found outside Africa.,No,
One-Horned Rhinoceros,Dehradun,Himalayan Forest,monsoon,afternoon,Gir Forest,Insectivore,Dense Trees,Can communicate using low-frequency rumbles.,No,Near Threatened
Bengal Tiger,Hyderabad,Mangrove,monsoon,night,Nagarhole National Park,Carnivore,Burrows,Recognizable by its golden fur.,No,
Gaur,Mumbai,Himalayan Forest,winter,night,Jim Corbett National Park,Insectivore,Water Bodies,Recognizable by its golden fur.,No,
Indian Leopard,Chennai,Mangrove,winter,night,Sundarbans,Carnivore,Water Bodies,Its venom is neurotoxic and highly potent.,No,Near Threatened
Gaur,Bhopal,Deciduous Forest,monsoon,morning,Nagarhole National Park,Omnivore,Grasslands,Largest species of wild cattle.,No,
Sloth Bear,Shimla,Mangrove,monsoon,afternoon,Periyar Wildlife Sanctuary,Insectivore,Water Bodies,Uses its long tongue to extract termites from nests.,No,Near Threatened
Gaur,Nagpur,Thorn Forest,monsoon,night,Kaziranga National Park,Herbivore,Water Bodies,Uses its long tongue to extract termites from nests.,No,
One-Horned Rhinoceros,Kolkata,Deciduous Forest,winter,night,Nagarhole National Park,Herbivore,Burrows,Its venom is neurotoxic and highly potent.,No,Near Threatened
Blackbuck,Bengaluru,Deciduous Forest,monsoon,night,Kanha National Park,Herbivore,Dense Trees,The only lion species found outside Africa.,No,Least Concern
Indian Star Tortoise,Dehradun,Tropical Rainforest,summer,morning,Gir Forest,Insectivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,
One-Horned Rhinoceros,Delhi,Deciduous Forest,monsoon,afternoon,Ranthambore National Park,Insectivore,Water Bodies,"Can weigh up to 2,200 kg.",No,Near Threatened
Bengal Tiger,Mumbai,Mangrove,monsoon,night,Ranthambore National Park,Omnivore,Burrows,One of the world's most elusive animals.,No,
Blackbuck,Hyderabad,Thorn Forest,monsoon,morning,Periyar Wildlife Sanctuary,Herbivore,Rocky Terrain,The only lion species found outside Africa.,No,Least Concern
Indian Leopard,Delhi,Deciduous Forest,monsoon,night,Periyar Wildlife Sanctuary,Herbivore,Rocky Terrain,Can leap over 20 feet in a single bound.,No,Near Threatened
Gaur,Chennai,Mangrove,monsoon,morning,Hemis National Park,Insectivore,Burrows,Can run at speeds of up to 80 km/h.,No,
Indian Wolf,Ranchi,Tropical Rainforest,summer,morning,Kaziranga National Park,Insectivore,Dense Trees,Has a beautifully patterned shell for camouflage.,No,
Sloth Bear,Pune,Thorn Forest,summer,night,Kanha National Park,Insectivore,Water Bodies,Uses its long tongue to extract termites from nests.,No,Near Threatened
Indian Cobra,Pune,Mangrove,winter,afternoon,Gir Forest,Omnivore,Rocky Terrain,The only lion species found outside Africa.,No,
Bengal Tiger,Ranchi,Thorn Forest,winter,night,Gir Forest,Insectivore,Rocky Terrain,Has the strongest bite force among big cats.,No,
Indian Leopard,Nagpur,Deciduous Forest,monsoon,night,Kanha National Park,Carnivore,Rocky Terrain,Recognizable by its golden fur.,No,Near Threatened
Indian Cobra,Lucknow,Deciduous Forest,summer,night,Bandhavgarh National Park,Omnivore,Dense Trees,Has the strongest bite force among big cats.,No,
Bengal Tiger,Dehradun,Deciduous Forest,monsoon,night,Sundarbans,Omnivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,
Indian Leopard,Ranchi,Thorn Forest,winter,night,Sundarbans,Omnivore,Burrows,The only lion species found outside Africa.,No,Near Threatened
Indian Elephant,Kolkata,Deciduous Forest,winter,night,Bandhavgarh National Park,Insectivore,Grasslands,Can leap over 20 feet in a single bound.,No,
Indian Wolf,Dehradun,Deciduous Forest,monsoon,afternoon,Gir Forest,Omnivore,Grasslands,Can leap over 20 feet in a single bound.,No,
Asiatic Lion,Delhi,Himalayan Forest,monsoon,afternoon,Ranthambore National Park,Insectivore,Grasslands,"Can weigh up to 2,200 kg.",No,Critically Endangered
One-Horned Rhinoceros,Ranchi,Himalayan Forest,winter,afternoon,Kanha National Park,Carnivore,Burrows,"Can weigh up to 2,200 kg.",No,Near Threatened
Gaur,Bhopal,Tropical Rainforest,summer,morning,Gir Forest,Herbivore,Caves,The longest venomous snake in the world.,No,
Indian Star Tortoise,Shimla,Mangrove,winter,morning,Ranthambore National Park,Insectivore,Water Bodies,Can run at speeds of up to 80 km/h.,No,
Gaur,Chennai,Tropical Rainforest,summer,night,Nagarhole National Park,Insectivore,Water Bodies,The only lion species found outside Africa.,No,
Bengal Tiger,Kolkata,Deciduous Forest,summer,night,Kaziranga National Park,Insectivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,
Indian Star Tortoise,Jaipur,Mangrove,monsoon,morning,Gir Forest,Insectivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,
King Cobra,Shimla,Mangrove,winter,afternoon,Gir Forest,Omnivore,Rocky Terrain,The only lion species found outside Africa.,No,
Snow Leopard,Nagpur,Mangrove,monsoon,morning,Nagarhole National Park,Insectivore,Caves,Has the strongest bite force among big cats.,No,
Blackbuck,Ranchi,Mangrove,winter,night,Kaziranga National Park,Omnivore,Grasslands,Has the strongest bite force among big cats.,No,Least Concern
Bengal Tiger,Lucknow,Thorn Forest,monsoon,night,Hemis National Park,Omnivore,Grasslands,Survives in extreme cold temperatures.,No,
Sloth Bear,Pune,Deciduous Forest,winter,afternoon,Kaziranga National Park,Insectivore,Burrows,Has the strongest bite force among big cats.,No,Near Threatened
Indian Leopard,Chennai,Tropical Rainforest,winter,night,Gir Forest,Carnivore,Caves,Can leap over 20 feet in a single bound.,No,Near Threatened
Indian Elephant,Shimla,Deciduous Forest,winter,afternoon,Gir Forest,Herbivore,Burrows,Can run at speeds of up to 80 km/h.,No,
Indian Star Tortoise,Pune,Deciduous Forest,summer,night,Hemis National Park,Omnivore,Grasslands,"Hunts in packs, similar to African wild dogs.",No,
Indian Wolf,Guwahati,Mangrove,monsoon,afternoon,Nagarhole National Park,Insectivore,Caves,The only lion species found outside Africa.,No,
One-Horned Rhinoceros,Dehradun,Deciduous Forest,monsoon,morning,Jim Corbett National Park,Herbivore,Rocky Terrain,The only lion species found outside Africa.,No,Near Threatened
King Cobra,Nagpur,Deciduous Forest,winter,night,Kaziranga National Park,Herbivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,
Indian Star Tortoise,Kolkata,Deciduous Forest,monsoon,morning,Ranthambore National Park,Insectivore,Caves,One of the world's most elusive animals.,No,
Asiatic Lion,Hyderabad,Himalayan Forest,monsoon,night,Ranthambore National Park,Insectivore,Burrows,The longest venomous snake in the world.,No,Critically Endangered
Indian Leopard,Shimla,Himalayan Forest,monsoon,night,Sundarbans,Omnivore,Burrows,Has the strongest bite force among big cats.,No,Near Threatened
Asiatic Lion,Bhopal,Deciduous Forest,summer,afternoon,Periyar Wildlife Sanctuary,Carnivore,Burrows,One of the world's most elusive animals.,No,Critically Endangered
Blackbuck,Nagpur,Mangrove,summer,morning,Kanha National Park,Carnivore,Rocky Terrain,The longest venomous snake in the world.,No,Least Concern
One-Horned Rhinoceros,Ranchi,Deciduous Forest,monsoon,morning,Sundarbans,Omnivore,Dense Trees,The only lion species found outside Africa.,No,Near Threatened
Indian Cobra,Mumbai,Thorn Forest,monsoon,morning,Kaziranga National Park,Carnivore,Dense Trees,Uses its long tongue to extract termites from nests.,No,
Bengal Tiger,Pune,Himalayan Forest,monsoon,night,Hemis National Park,Herbivore,Grasslands,Can leap over 20 feet in a single bound.,No,
Red Panda,Hyderabad,Mangrove,monsoon,night,Kaziranga National Park,Omnivore,Dense Trees,"Hunts in packs, similar to African wild dogs.",No,
Sloth Bear,Delhi,Tropical Rainforest,summer,morning,Periyar Wildlife Sanctuary,Omnivore,Dense Trees,Largest species of wild cattle.,No,Near Threatened
Blackbuck,Chennai,Mangrove,monsoon,afternoon,Bandhavgarh National Park,Insectivore,Grasslands,Can communicate using low-frequency rumbles.,No,Least Concern
King Cobra,Ranchi,Thorn Forest,monsoon,night,Nagarhole National Park,Omnivore,Burrows,Largest species of wild cattle.,No,
Asiatic Lion,Nagpur,Mangrove,winter,afternoon,Ranthambore National Park,Insectivore,Water Bodies,Survives in extreme cold temperatures.,No,Critically Endangered
Golden Langur,Chennai,Mangrove,monsoon,night,Periyar Wildlife Sanctuary,Omnivore,Rocky Terrain,Can leap over 20 feet in a single bound.,No,
Bengal Tiger,Bhopal,Mangrove,winter,night,Jim Corbett National Park,Carnivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,
Indian Wolf,Bhopal,Himalayan Forest,monsoon,night,Kanha National Park,Insectivore,Water Bodies,Uses its long tongue to extract termites from nests.,No,
Indian Cobra,Delhi,Mangrove,monsoon,morning,Ranthambore National Park,Insectivore,Water Bodies,Can leap over 20 feet in a single bound.,No,
Indian Wolf,Pune,Thorn Forest,monsoon,morning,Kanha National Park,Carnivore,Grasslands,Survives in extreme cold temperatures.,No,
Sloth Bear,Ranchi,Himalayan Forest,winter,afternoon,Nagarhole National Park,Carnivore,Caves,"Can weigh up to 2,200 kg.",No,Near Threatened
Sloth Bear,Ranchi,Tropical Rainforest,monsoon,night,Sundarbans,Omnivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,Near Threatened
