name,Scientific Name,Endemic Status,Conservation Status,forest,city,Region,Unique Fact,Season,active
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Jaipur,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Hyderabad,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Mumbai,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bhopal,Central India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",monsoon,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,summer,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Delhi,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,monsoon,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Guwahati,Northeast India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,winter,morning
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Delhi,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Chennai,South India,Commonly found near human habitation; known for their adaptability.,summer,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,summer,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Chennai,South India,Commonly found near human habitation; known for their adaptability.,monsoon,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Mumbai,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,morning
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Bhopal,Central India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,winter,afternoon
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Kolkata,East India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,monsoon,morning
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bangalore,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,summer,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bhopal,Central India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,winter,night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Hyderabad,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,winter,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Guwahati,Northeast India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,summer,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bangalore,South India,Commonly found near human habitation; known for their adaptability.,winter,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Kolkata,East India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,winter,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Shimla,North India,Commonly found near human habitation; known for their adaptability.,winter,morning
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Chennai,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,winter,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bhopal,Central India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,monsoon,night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Jaipur,West India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,monsoon,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Mumbai,West India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,monsoon,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Delhi,North India,Commonly found near human habitation; known for their adaptability.,monsoon,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bhopal,Central India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",monsoon,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Shimla,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Bhopal,Central India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,monsoon,night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Jaipur,West India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,winter,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Delhi,North India,Commonly found near human habitation; known for their adaptability.,winter,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Jaipur,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",monsoon,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Kolkata,East India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bangalore,South India,Commonly found near human habitation; known for their adaptability.,summer,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Guwahati,Northeast India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Delhi,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,summer,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Kolkata,East India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Mumbai,West India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,monsoon,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bangalore,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Hyderabad,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bangalore,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,morning
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Kolkata,East India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,winter,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Mumbai,West India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Chennai,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,winter,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bhopal,Central India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,winter,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Hyderabad,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,monsoon,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Mumbai,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Jaipur,West India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,winter,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bhopal,Central India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,morning
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Kolkata,East India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,morning
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Hyderabad,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,winter,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Jaipur,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,morning
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Delhi,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,winter,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Delhi,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Chennai,South India,Commonly found near human habitation; known for their adaptability.,winter,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Shimla,North India,Commonly found near human habitation; known for their adaptability.,summer,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Guwahati,Northeast India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,monsoon,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Mumbai,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,summer,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Jaipur,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,winter,night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Bangalore,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,summer,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Delhi,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Chennai,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Delhi,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Kolkata,East India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,summer,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Delhi,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Shimla,North India,Commonly found near human habitation; known for their adaptability.,summer,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Hyderabad,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,summer,morning
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Bhopal,Central India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,summer,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Jaipur,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,summer,morning
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Mumbai,West India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,winter,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Mumbai,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,winter,night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Shimla,North India,Commonly found near human habitation; known for their adaptability.,winter,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Guwahati,Northeast India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Delhi,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Kolkata,East India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",monsoon,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Delhi,North India,Commonly found near human habitation; known for their adaptability.,winter,morning
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,summer,night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bangalore,South India,Commonly found near human habitation; known for their adaptability.,summer,night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,monsoon,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Bangalore,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,winter,morning
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Delhi,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,summer,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Guwahati,Northeast India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,morning
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Kolkata,East India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,summer,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bangalore,South India,Commonly found near human habitation; known for their adaptability.,winter,morning
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Mumbai,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Bangalore,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,winter,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Kolkata,East India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,monsoon,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Chennai,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Shimla,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bhopal,Central India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,monsoon,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Kolkata,East India,Commonly found near human habitation; known for their adaptability.,summer,night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Shimla,North India,Commonly found near human habitation; known for their adaptability.,winter,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Kolkata,East India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Hyderabad,South India,Commonly found near human habitation; known for their adaptability.,winter,morning
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Guwahati,Northeast India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,winter,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Guwahati,Northeast India,Commonly found near human habitation; known for their adaptability.,winter,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Mumbai,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,summer,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Guwahati,Northeast India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,afternoon
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Chennai,South India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,winter,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Delhi,North India,Commonly found near human habitation; known for their adaptability.,winter,afternoon
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Jaipur,West India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,winter,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Mumbai,West India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,monsoon,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Delhi,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Shimla,North India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Jaipur,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,winter,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,monsoon,afternoon
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Chennai,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,monsoon,night
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Kolkata,East India,Commonly found near human habitation; known for their adaptability.,winter,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bangalore,South India,Commonly found near human habitation; known for their adaptability.,summer,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Delhi,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,summer,morning
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Delhi,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,winter,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Guwahati,Northeast India,Commonly found near human habitation; known for their adaptability.,monsoon,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Delhi,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,morning
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Bangalore,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,monsoon,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Shimla,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bangalore,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Kolkata,East India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,morning
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,winter,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bhopal,Central India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Shimla,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Jaipur,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,winter,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bangalore,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Delhi,North India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Jaipur,West India,Commonly found near human habitation; known for their adaptability.,summer,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Hyderabad,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,winter,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Shimla,North India,Commonly found near human habitation; known for their adaptability.,summer,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,winter,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bangalore,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bangalore,South India,Commonly found near human habitation; known for their adaptability.,winter,morning
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bangalore,South India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",winter,afternoon
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Hyderabad,South India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Mumbai,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,morning
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Jaipur,West India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Kolkata,East India,Commonly found near human habitation; known for their adaptability.,summer,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Delhi,North India,Commonly found near human habitation; known for their adaptability.,monsoon,morning
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Delhi,North India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,summer,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Kolkata,East India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,winter,morning
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Delhi,North India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,summer,night
Nicobar Pigeon,Caloenas nicobarica,No,Near Threatened,Coastal Forests,Jaipur,West India,Closest living relative to the extinct dodo; found in the Nicobar Islands.,summer,night
Himalayan Monal,Lophophorus impejanus,No,Least Concern,Himalayan Forests,Hyderabad,South India,The male has a strikingly colorful plumage; it's the state bird of Uttarakhand.,summer,night
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Jaipur,West India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,afternoon
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bangalore,South India,Commonly found near human habitation; known for their adaptability.,summer,afternoon
Great Indian Bustard,Ardeotis nigriceps,Yes,Critically Endangered,Grasslands,Bhopal,Central India,"One of the heaviest flying birds, now critically endangered due to habitat loss.",summer,morning
House Sparrow,Passer domesticus,No,Least Concern,Urban and Rural Areas,Bhopal,Central India,Commonly found near human habitation; known for their adaptability.,winter,night
Indian Peafowl,Pavo cristatus,Yes,Least Concern,Forests and Farmlands,Mumbai,West India,National bird of India. Males are known for their vibrant plumage and elaborate courtship displays.,monsoon,morning
